TrialNo	MovNo	NrOfCycles	X	Y	Z	Rz	Fx	Fx_control	Fy	Fy_control	Fz	Fz_control	TrigCam	Relative	Acc
1	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
1	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
1	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
1	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
1	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
2	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
2	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
2	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
2	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
2	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
3	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
3	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
3	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
3	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
3	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
4	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
4	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
4	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
4	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
4	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
5	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
5	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
5	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
5	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
5	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
6	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
6	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
6	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
6	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
6	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
7	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
7	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
7	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
7	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
7	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
8	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
8	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
8	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
8	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
8	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
9	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
9	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
9	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
9	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
9	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
10	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
10	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
10	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
10	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
10	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
11	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
11	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
11	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
11	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
11	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
12	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
12	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
12	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
12	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
12	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
13	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
13	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
13	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
13	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
13	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
14	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
14	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
14	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
14	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
14	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
15	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
15	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
15	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
15	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
15	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
16	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
16	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
16	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
16	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
16	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
17	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
17	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
17	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
17	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
17	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
18	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
18	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
18	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
18	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
18	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
19	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
19	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
19	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
19	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
19	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
20	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
20	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
20	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
20	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
20	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
21	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
21	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
21	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
21	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
21	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
22	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
22	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
22	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
22	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
22	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
23	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
23	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
23	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
23	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
23	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
24	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
24	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
24	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
24	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
24	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
25	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
25	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
25	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
25	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
25	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
26	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
26	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
26	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
26	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
26	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
27	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
27	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
27	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
27	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
27	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
28	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
28	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
28	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
28	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
28	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
29	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
29	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
29	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
29	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
29	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
30	1	1000	0	0	0	0	0	0	0	0	0	0	0	1	100000
30	2	20	0	0	0	0	0	0	0	0	0	0	0	1	100000
30	3	100	0	0	-10	0	0	0	0	0	0	0	0	1	100000
30	4	25	0	0	-10	0	0	0	0	0	0	0	0	1	100000
30	5	100	0	0	0	0	0	0	0	0	0	0	0	1	100000
